46,AMG,Affiliated Managers Group Inc.,Financial,Asset Management,USA,4.49B,4.75,127.98,2.47%,"312,065"
47,AMKR,AMKOR Technology Inc.,Technology,Semiconductor Equipment & Materials,USA,5.86B,14.47,23.83,5.44%,"1,269,218"
48,AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2.28B,23.90,46.59,2.51%,"415,156"
49,AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA,271.47M,0.64,6.95,-0.86%,"611,779"
50,AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA,3.01B,4.47,219.81,0.83%,"240,011"
51,AMSF,Amerisafe Inc,Financial,Insurance - Specialty,USA,989.30M,15.56,51.58,1.06%,"72,527"
52,AMTD,AMTD IDEA Group ADR,Financial,Asset Management,Hong Kong,54.07M,0.79,0.75,0.74%,"40,805"
53,AMWD,American Woodmark Corp.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.19B,10.87,72.73,2.64%,"91,100"
54,AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,1432.29B,72.37,138.60,0.38%,"43,959,037"
55,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,66.11B,35.36,212.49,0.38%,"2,157,476"
56,ANSS,Ansys Inc.,Technology,Software - Application,USA,25.00B,52.01,287.74,5.46%,"804,266"
57,AOS,A.O. Smith Corp.,Industrials,Specialty Industrial Machinery,USA,10.64B,36.28,71.56,0.29%,"1,206,714"
58,APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,USA,65.13B,29.97,293.20,1.24%,"1,011,620"
59,APH,Amphenol Corp.,Technology,Electronic Components,USA,50.72B,27.36,84.77,2.01%,"2,671,187"
60,APOG,Apogee Enterprises Inc.,Industrials,Building Products & Equipment,USA,984.76M,9.82,44.62,2.41%,"88,360"
61,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,21.92B,9.70,77.50,0.39%,"6,142,736"
62,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,9.16B,10.98,30.49,0.20%,"3,233,707"
63,ARCB,ArcBest Corp,Industrials,Trucking,USA,2.86B,26.17,120.00,2.21%,"702,757"
64,ARCH,Arch Resources Inc,Basic Materials,Coking Coal,USA,2.77B,3.66,150.60,-0.48%,"288,052"
65,ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,520.83M,6.77,19.58,5.21%,"441,760"
66,ARL,American Realty Investors Inc.,Real Estate,Real Estate - Development,USA,212.70M,0.61,13.17,2.09%,"1,613"
